trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
105,False,"{'a': 0.7, 'e': 0.3499377491111553}",25,1,7.0530752682843385,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 0}",1
106,False,"{'a': 0.7, 'e': 0.3464558103300574}",35,11,20.28180750802808,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 0}",1
107,False,"{'a': 0.7, 'e': 0.34300851741870664}",25,11,-34.949838131105274,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 1}",1
108,False,"{'a': 0.7, 'e': 0.3395955256449391}",25,14,-17.632643543987783,"{0: 8, 1: 1, 2: 1, 3: 1, 4: 0}",1
109,False,"{'a': 0.7, 'e': 0.3362164937067333}",20,9,-16.048854853695683,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 0}",1
110,False,"{'a': 0.7, 'e': 0.33287108369807955}",20,2,-1.3620088920575326,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 0}",1
111,False,"{'a': 0.7, 'e': 0.32955896107518906}",20,0,6.612814957575557,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
112,False,"{'a': 0.7, 'e': 0.32627979462303947}",25,6,-23.104406813326495,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 1}",1
113,False,"{'a': 0.7, 'e': 0.3230332564222529}",20,6,-0.814569974755051,"{0: 11, 1: 2, 2: 1, 3: 0, 4: 0}",1
114,False,"{'a': 0.7, 'e': 0.31981902181630384}",20,4,-72.16648583923327,"{0: 11, 1: 1, 2: 2, 3: 1, 4: 1}",1
115,False,"{'a': 0.7, 'e': 0.31663676937905316}",20,3,-45.195074683337225,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 1}",1
116,False,"{'a': 0.7, 'e': 0.3134861808826053}",30,0,11.03989813433327,"{0: 28, 1: 0, 2: 1, 3: 1, 4: 0}",0
117,False,"{'a': 0.7, 'e': 0.31036694126548503}",25,10,-38.84318428583502,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 1}",1
